id,state,abbrevation,unemploymentPopulation,marriedPopulation
1,Alabama,AL,8.6,47.6
2,Alaska,AK,7.6,48.1
3,Arizona,AZ,7.9,46.8
4,Arkansas,AR,6.8,49.6
5,California,CA,8.5,46.2
6,Colorado,CO,5.5,50.3
7,Connecticut,CT,7.9,47.4
8,Delaware,DE,6.7,46.8
9,District of Columbia,DC,8.9,27.5
10,Florida,FL,8,45.8
11,Georgia,GA,8.3,46.3
12,Hawaii,HI,5.4,49.3
13,Idaho,ID,5.5,54.6
14,Illinois,IL,8.1,47.4
15,Indiana,IN,7.1,49.1
16,Iowa,IA,4.4,53
17,Kansas,KS,5.2,52.1
18,Kentucky,KY,7.6,49.6
19,Louisiana,LA,7.5,43.3
20,Maine,ME,5.9,49.6
21,Maryland,MD,7.2,46.5
22,Massachusetts,MA,6.7,45.8
23,Michigan,MI,8.3,47.6
24,Minnesota,MN,4.7,51.7
25,Mississippi,MS,9.8,44
26,Missouri,MO,6.8,48.8
27,Montana,MT,4.9,51
28,Nebraska,NE,4.2,52.5
29,Nevada,NV,8.9,44.7
30,New Hampshire,NH,5.1,51.5
31,New Jersey,NJ,7.5,48.6
32,New Mexico,NM,8.7,45.3
33,New York,NY,7.3,44.3
34,North Carolina,NC,8.3,48.4
35,North Dakota,ND,3,52.1
36,Ohio,OH,7.2,47.4
37,Oklahoma,OK,5.7,50.1
38,Oregon,OR,7.8,48.5
39,Pennsylvania,PA,7,47.7
40,Rhode Island,RI,7.8,44.4
41,South Carolina,SC,8.1,46.6
42,South Dakota,SD,3.9,51.4
43,Tennessee,TN,7.8,48.7
44,Texas,TX,6.1,49
45,Utah,UT,5,56.3
46,Vermont,VT,5.5,50.1
47,Virginia,VA,6.1,49.9
48,Washington,WA,6.5,50.5
49,West Virginia,WV,6.9,49.4
50,Wisconsin,WI,5.3,50.6
51,Wyoming,WY,4.3,52.5
52,Puerto Rico,PR,18.5,37.3
